Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last 
22.01. 18:00;1,5429;0;0;5,8
22.01. 19:00;1,0546;0;0;6,5
22.01. 20:00;1,2082;0;0;6,7
22.01. 21:00;0,34023;0;0;6,8
22.01. 22:00;0,16627;0;0;3,7
22.01. 23:00;0,016281;0;0;4,1
23.01. 00:00;0,16626;0;0;3,7
23.01. 01:00;0,016302;0;0;3,4
23.01. 02:00;0,016124;0;0;3,8
23.01. 03:00;0,016332;0;0;3,3
23.01. 04:00;0,016276;0;0;4,1
23.01. 05:00;0,16513;0;0;6,1
23.01. 06:00;0,20261;0;0;8,5
23.01. 07:00;0,76389;0;0;7,9
23.01. 08:00;0,18719;0;0;6,5
23.01. 09:00;0,016119;0,00573;0;6,4
23.01. 10:00;0,16651;0,033424;0;6,7
23.01. 11:00;0,016215;0,066531;0,050316;6,4
23.01. 12:00;0,016151;0,090504;0,074353;5,7
23.01. 13:00;0,016109;0,078792;0,062683;5,8
23.01. 14:00;0,016105;0,051321;0,035216;5,1
23.01. 15:00;0,16584;0,016616;0;6,2
23.01. 16:00;0,016254;0,00055984;0;6,4
23.01. 17:00;1,2154;0;0;6,8
23.01. 18:00;1,0203;0;0;6,7
23.01. 19:00;0,075678;0;0;7,2
23.01. 20:00;0,39478;0;0;7,7
23.01. 21:00;1,1713;0;0;7,3
23.01. 22:00;0,27134;0;0;5
23.01. 23:00;0,01628;0;0;4,4
24.01. 00:00;0,016069;0;0;4,3
24.01. 01:00;0,16828;0;0;4,4
24.01. 02:00;0,016197;0;0;4,4
24.01. 03:00;0,016301;0;0;4,4
24.01. 04:00;0,016339;0;0;5
24.01. 05:00;0,016202;0;0;7,8
24.01. 06:00;0,36097;0;0;10,5
24.01. 07:00;0,3811;0;0;9,5
24.01. 08:00;0,20142;0;0;8,8
24.01. 09:00;0,016237;0,076993;0,060756;7,6
24.01. 10:00;0,016189;0,31862;0,30244;7,2
24.01. 11:00;0,16508;0,70143;0,53635;6,1
24.01. 12:00;0,016293;0,69583;0,67954;6,8
24.01. 13:00;0,016347;0,66603;0,64968;6,8
24.01. 14:00;0,015974;0,53588;0,5199;6,6
24.01. 15:00;0,016113;0,22463;0,20852;6,6
24.01. 16:00;0,16232;0,014276;0;6,9
24.01. 17:00;0,19785;0;0;7,5
24.01. 18:00;1,8226;0;0;8,1
24.01. 19:00;0,9088;0;0;8
24.01. 20:00;0,60798;0;0;8,2
24.01. 21:00;0,69697;0;0;8,8
24.01. 22:00;0,61823;0;0;5,9
24.01. 23:00;0,37762;0;0;4,8
25.01. 00:00;0,016337;0;0;4,8
25.01. 01:00;0,016389;0;0;5
25.01. 02:00;0,16811;0;0;4,8
25.01. 03:00;0,016142;0;0;5,3
25.01. 04:00;0,016193;0;0;5,7
25.01. 05:00;0,016129;0;0;7,9
25.01. 06:00;0,021517;0;0;11
25.01. 07:00;0,35541;0;0;11,2
